0,Respondent ID,Date Started,biological_education,bio_database_experience,Any biological software tools you'd like to add to the list? How often do you use it?,years_experience_bio,computer_education,computer_experience,programming_langs_free_text,What file types do you commonly use for biological data? ,years_experience_computer,bio_software_galaxy ,bio_software_gnomad ,bio_software_intermine ,bio_software_biomart ,bio_software_molgenis ,bio_software_knetminer ,bio_software_genecards ,bio_software_go ,bio_software_ensembl ,bio_software_ncbi ,bio_software_pdb ,bio_software_biogrid ,bio_software_interpro ,bio_software_kegg ,bio_software_reactome ,computer_experience_r_lang ,computer_experience_python ,computer_experience_perl ,computer_experience_java ,computer_experience_rdbm ,computer_experience_functional_language ,computer_experience_graph_db ,computer_experience_semantic ,computer_experience_html ,computer_experience_js ,computer_experience_git ,bio_files_type_r_lang ,bio_files_type_python ,bio_files_type_perl ,bio_files_type_java ,bio_files_type_rdbm ,bio_files_type_functional_language ,bio_files_type_graph_db ,bio_files_type_semantic ,bio_files_type_html ,bio_files_type_js ,bio_files_type_git 
Participant 1,1,06/07/2019,highschool,galaxy = every_day;gnomad = never_heard;intermine = never_heard;biomart = heard_of;molgenis = never_heard;knetminer = never_heard;genecards = never_heard;go = heard_of;ensembl = every_month;ncbi = every_week;pdb = heard_of;biogrid = never_heard;interpro = year_or_less;kegg = heard_of;reactome = heard_of, ,10,doctoral,r_lang = every_month;python = every_day;perl = year_or_less;java = year_or_less;rdbm = year_or_less;functional_language = heard_of;graph_db = heard_of;semantic = heard_of;html = year_or_less;js = year_or_less;git = every_week,C/C++,GFF;FASTA;BAM;CSV / TSV,15, every_day, never_heard, never_heard, heard_of, never_heard, never_heard, never_heard, heard_of, every_month, every_week, heard_of, never_heard, year_or_less, heard_of, heard_of, every_month, every_day, year_or_less, year_or_less, year_or_less, heard_of, heard_of, heard_of, year_or_less, year_or_less, every_week, every_month, every_day, year_or_less, year_or_less, year_or_less, heard_of, heard_of, heard_of, year_or_less, year_or_less, every_week
Participant 2,2,06/07/2019,doctoral,galaxy = every_day;gnomad = never_heard;intermine = heard_of;biomart = heard_of;molgenis = never_heard;knetminer = never_heard;genecards = year_or_less;go = every_month;ensembl = year_or_less;ncbi = every_week;pdb = year_or_less;biogrid = heard_of;interpro = heard_of;kegg = year_or_less;reactome = year_or_less,MaxQuant Every monthCardinal Everz weak,7,informal,r_lang = every_week;python = year_or_less;perl = heard_of;java = heard_of;rdbm = heard_of;functional_language = heard_of;graph_db = never_heard;semantic = never_heard;html = heard_of;js = heard_of;git = every_week, ,mzml and imzml;FASTA;CSV / TSV,2, every_day, never_heard, heard_of, heard_of, never_heard, never_heard, year_or_less, every_month, year_or_less, every_week, year_or_less, heard_of, heard_of, year_or_less, year_or_less, every_week, year_or_less, heard_of, heard_of, heard_of, heard_of, never_heard, never_heard, heard_of, heard_of, every_week, every_week, year_or_less, heard_of, heard_of, heard_of, heard_of, never_heard, never_heard, heard_of, heard_of, every_week
Participant 3,3,09/07/2019,doctoral,galaxy = every_month;gnomad = never_heard;intermine = heard_of;biomart = year_or_less;molgenis = never_heard;knetminer = never_heard;genecards = every_week;go = every_week;ensembl = every_week;ncbi = every_day;pdb = every_month;biogrid = heard_of;interpro = every_week;kegg = year_or_less;reactome = year_or_less,BLAST - every weekPUBCHEM - every month,17,informal,r_lang = year_or_less;python = every_month;perl = every_day;java = heard_of;rdbm = every_week;functional_language = never_heard;graph_db = never_heard;semantic = year_or_less;html = every_week;js = heard_of;git = every_day,MongoDBC/C++,GFF;FASTA;VCF;BAM;CSV / TSV;Excel / Google Sheets / other spreadsheets;PDB,17, every_month, never_heard, heard_of, year_or_less, never_heard, never_heard, every_week, every_week, every_week, every_day, every_month, heard_of, every_week, year_or_less, year_or_less, year_or_less, every_month, every_day, heard_of, every_week, never_heard, never_heard, year_or_less, every_week, heard_of, every_day, year_or_less, every_month, every_day, heard_of, every_week, never_heard, never_heard, year_or_less, every_week, heard_of, every_day
Participant 4,4,16/08/2019,masters,galaxy = heard_of;gnomad = never_heard;intermine = never_heard;biomart = heard_of;molgenis = never_heard;knetminer = never_heard;genecards = heard_of;go = heard_of;ensembl = every_day;ncbi = every_month;pdb = heard_of;biogrid = never_heard;interpro = year_or_less;kegg = never_heard;reactome = heard_of,Omim - every monthClinVar - every monthENA - every day,11,masters,r_lang = year_or_less;python = every_day;perl = every_month;java = year_or_less;rdbm = every_day;functional_language = heard_of;graph_db = heard_of;semantic = heard_of;html = year_or_less;js = heard_of;git = every_week, ,FASTA;VCF;BAM;CSV / TSV;Excel / Google Sheets / other spreadsheets,9, heard_of, never_heard, never_heard, heard_of, never_heard, never_heard, heard_of, heard_of, every_day, every_month, heard_of, never_heard, year_or_less, never_heard, heard_of, year_or_less, every_day, every_month, year_or_less, every_day, heard_of, heard_of, heard_of, year_or_less, heard_of, every_week, year_or_less, every_day, every_month, year_or_less, every_day, heard_of, heard_of, heard_of, year_or_less, heard_of, every_week
Participant 5,5,21/08/2019,doctoral,galaxy = every_week;gnomad = heard_of;intermine = year_or_less;biomart = year_or_less;molgenis = heard_of;knetminer = year_or_less;genecards = never_heard;go = every_month;ensembl = every_month;ncbi = every_week;pdb = year_or_less;biogrid = never_heard;interpro = year_or_less;kegg = heard_of;reactome = heard_of,"Ensembl REST API, BLAST, PyANI, CyVerse (US/UK)",21,doctoral,r_lang = every_day;python = every_day;perl = every_day;java = every_day;rdbm = every_day;functional_language = year_or_less;graph_db = every_month;semantic = every_day;html = every_day;js = every_day;git = every_day,"bash shell, GNU tools (awk, sed, curl, etc), jq","JSON, RDF;FASTA;VCF;BAM;CSV / TSV;Excel / Google Sheets / other spreadsheets",18, every_week, heard_of, year_or_less, year_or_less, heard_of, year_or_less, never_heard, every_month, every_month, every_week, year_or_less, never_heard, year_or_less, heard_of, heard_of, every_day, every_day, every_day, every_day, every_day, year_or_less, every_month, every_day, every_day, every_day, every_day, every_day, every_day, every_day, every_day, every_day, year_or_less, every_month, every_day, every_day, every_day, every_day
Participant 6,6,21/08/2019,doctoral,galaxy = heard_of;gnomad = never_heard;intermine = never_heard;biomart = every_day;molgenis = heard_of;knetminer = never_heard;genecards = heard_of;go = every_week;ensembl = every_day;ncbi = every_day;pdb = never_heard;biogrid = year_or_less;interpro = year_or_less;kegg = year_or_less;reactome = year_or_less,BEAST - few times a yearPAML - every weekfigtree - every week MGI mouse genome informatics - every week Tabula muris - every week,13,informal,r_lang = every_week;python = every_day;perl = heard_of;java = year_or_less;rdbm = year_or_less;functional_language = never_heard;graph_db = heard_of;semantic = never_heard;html = year_or_less;js = never_heard;git = year_or_less, ,GFF;FASTA;VCF;BAM;CSV / TSV;Excel / Google Sheets / other spreadsheets,5, heard_of, never_heard, never_heard, every_day, heard_of, never_heard, heard_of, every_week, every_day, every_day, never_heard, year_or_less, year_or_less, year_or_less, year_or_less, every_week, every_day, heard_of, year_or_less, year_or_less, never_heard, heard_of, never_heard, year_or_less, never_heard, year_or_less, every_week, every_day, heard_of, year_or_less, year_or_less, never_heard, heard_of, never_heard, year_or_less, never_heard, year_or_less
Participant 7,7,21/08/2019,doctoral,galaxy = every_day;gnomad = never_heard;intermine = year_or_less;biomart = every_month;molgenis = heard_of;knetminer = never_heard;genecards = never_heard;go = heard_of;ensembl = every_day;ncbi = every_month;pdb = every_month;biogrid = never_heard;interpro = year_or_less;kegg = year_or_less;reactome = heard_of,Aequatus and GeneSeqToFamily: Daily,12,masters,r_lang = heard_of;python = every_week;perl = every_month;java = every_week;rdbm = every_week;functional_language = never_heard;graph_db = never_heard;semantic = never_heard;html = every_week;js = every_week;git = every_week, ,Newick;GFF;FASTA;VCF;BAM;CSV / TSV;Excel / Google Sheets / other spreadsheets,12, every_day, never_heard, year_or_less, every_month, heard_of, never_heard, never_heard, heard_of, every_day, every_month, every_month, never_heard, year_or_less, year_or_less, heard_of, heard_of, every_week, every_month, every_week, every_week, never_heard, never_heard, never_heard, every_week, every_week, every_week, heard_of, every_week, every_month, every_week, every_week, never_heard, never_heard, never_heard, every_week, every_week, every_week
Participant 8,8,21/08/2019,doctoral,galaxy = every_day;gnomad = year_or_less;intermine = year_or_less;biomart = year_or_less;molgenis = never_heard;knetminer = heard_of;genecards = year_or_less;go = year_or_less;ensembl = every_month;ncbi = every_month;pdb = year_or_less;biogrid = year_or_less;interpro = year_or_less;kegg = year_or_less;reactome = year_or_less,BLAST (few times a year)BWA/BOWTIE/various RNA-Seq tools (monthly),13,masters,r_lang = year_or_less;python = every_day;perl = year_or_less;java = year_or_less;rdbm = every_week;functional_language = heard_of;graph_db = heard_of;semantic = heard_of;html = every_month;js = year_or_less;git = every_day, ,GFF;FASTA;VCF;BAM;CSV / TSV,18, every_day, year_or_less, year_or_less, year_or_less, never_heard, heard_of, year_or_less, year_or_less, every_month, every_month, year_or_less, year_or_less, year_or_less, year_or_less, year_or_less, year_or_less, every_day, year_or_less, year_or_less, every_week, heard_of, heard_of, heard_of, every_month, year_or_less, every_day, year_or_less, every_day, year_or_less, year_or_less, every_week, heard_of, heard_of, heard_of, every_month, year_or_less, every_day
Participant 9,9,21/08/2019,doctoral,galaxy = year_or_less;gnomad = never_heard;intermine = year_or_less;biomart = year_or_less;molgenis = never_heard;knetminer = never_heard;genecards = year_or_less;go = every_month;ensembl = every_month;ncbi = every_day;pdb = every_week;biogrid = heard_of;interpro = every_week;kegg = year_or_less;reactome = year_or_less,"Jalview. Clustal. RAxML, Cytoscape, Chimera, PhyML, Dendrogram, SplitsTrees, MrBayes",15,doctoral,r_lang = year_or_less;python = every_week;perl = every_month;java = year_or_less;rdbm = year_or_less;functional_language = heard_of;graph_db = never_heard;semantic = never_heard;html = every_month;js = heard_of;git = every_month, ,Phylip;FASTA;PDB,10, year_or_less, never_heard, year_or_less, year_or_less, never_heard, never_heard, year_or_less, every_month, every_month, every_day, every_week, heard_of, every_week, year_or_less, year_or_less, year_or_less, every_week, every_month, year_or_less, year_or_less, heard_of, never_heard, never_heard, every_month, heard_of, every_month, year_or_less, every_week, every_month, year_or_less, year_or_less, heard_of, never_heard, never_heard, every_month, heard_of, every_month
Participant 10,10,22/08/2019,doctoral,galaxy = year_or_less;gnomad = never_heard;intermine = heard_of;biomart = heard_of;molgenis = never_heard;knetminer = never_heard;genecards = year_or_less;go = every_month;ensembl = year_or_less;ncbi = every_month;pdb = year_or_less;biogrid = heard_of;interpro = every_month;kegg = year_or_less;reactome = year_or_less,"Jalview Proviz, often for teaching",11,doctoral,r_lang = year_or_less;python = every_week;perl = year_or_less;java = year_or_less;rdbm = year_or_less;functional_language = heard_of;graph_db = never_heard;semantic = heard_of;html = year_or_less;js = year_or_less;git = every_week, ,"I have not actively done research in the last 2 years, but still use these files either for consulting or teaching.;GFF;FASTA;BAM;CSV / TSV;Excel / Google Sheets / other spreadsheets",7, year_or_less, never_heard, heard_of, heard_of, never_heard, never_heard, year_or_less, every_month, year_or_less, every_month, year_or_less, heard_of, every_month, year_or_less, year_or_less, year_or_less, every_week, year_or_less, year_or_less, year_or_less, heard_of, never_heard, heard_of, year_or_less, year_or_less, every_week, year_or_less, every_week, year_or_less, year_or_less, year_or_less, heard_of, never_heard, heard_of, year_or_less, year_or_less, every_week
Participant 11,11,28/08/2019,undergraduate,galaxy = never_heard;gnomad = never_heard;intermine = never_heard;biomart = every_week;molgenis = year_or_less;knetminer = never_heard;genecards = year_or_less;go = every_week;ensembl = every_day;ncbi = every_day;pdb = every_day;biogrid = year_or_less;interpro = heard_of;kegg = every_week;reactome = every_week, ,3,undergraduate,r_lang = every_day;python = every_day;perl = year_or_less;java = year_or_less;rdbm = every_day;functional_language = never_heard;graph_db = year_or_less;semantic = never_heard;html = year_or_less;js = year_or_less;git = every_day,Bash - daily,tab;FASTA;VCF;BAM;CSV / TSV;Excel / Google Sheets / other spreadsheets;PDB,3, never_heard, never_heard, never_heard, every_week, year_or_less, never_heard, year_or_less, every_week, every_day, every_day, every_day, year_or_less, heard_of, every_week, every_week, every_day, every_day, year_or_less, year_or_less, every_day, never_heard, year_or_less, never_heard, year_or_less, year_or_less, every_day, every_day, every_day, year_or_less, year_or_less, every_day, never_heard, year_or_less, never_heard, year_or_less, year_or_less, every_day
Participant 12,12,28/08/2019,masters,galaxy = heard_of;gnomad = year_or_less;intermine = heard_of;biomart = year_or_less;molgenis = never_heard;knetminer = never_heard;genecards = heard_of;go = year_or_less;ensembl = year_or_less;ncbi = every_month;pdb = year_or_less;biogrid = heard_of;interpro = year_or_less;kegg = heard_of;reactome = heard_of, ,22,masters,r_lang = year_or_less;python = heard_of;perl = year_or_less;java = year_or_less;rdbm = year_or_less;functional_language = heard_of;graph_db = heard_of;semantic = heard_of;html = year_or_less;js = heard_of;git = every_day, ,CRAM;FASTA;VCF;BAM;CSV / TSV;Excel / Google Sheets / other spreadsheets,19, heard_of, year_or_less, heard_of, year_or_less, never_heard, never_heard, heard_of, year_or_less, year_or_less, every_month, year_or_less, heard_of, year_or_less, heard_of, heard_of, year_or_less, heard_of, year_or_less, year_or_less, year_or_less, heard_of, heard_of, heard_of, year_or_less, heard_of, every_day, year_or_less, heard_of, year_or_less, year_or_less, year_or_less, heard_of, heard_of, heard_of, year_or_less, heard_of, every_day
Participant 13,13,28/08/2019,doctoral,galaxy = every_day;gnomad = never_heard;intermine = heard_of;biomart = year_or_less;molgenis = never_heard;knetminer = never_heard;genecards = never_heard;go = every_day;ensembl = year_or_less;ncbi = every_day;pdb = year_or_less;biogrid = heard_of;interpro = heard_of;kegg = heard_of;reactome = never_heard, ,10,doctoral,r_lang = every_month;python = every_month;perl = year_or_less;java = heard_of;rdbm = every_month;functional_language = heard_of;graph_db = year_or_less;semantic = year_or_less;html = year_or_less;js = heard_of;git = every_day, ,"FASTQ, CRAM/CRAI, LOOM, MTX, HD5;GFF;FASTA;VCF;BAM;CSV / TSV",10, every_day, never_heard, heard_of, year_or_less, never_heard, never_heard, never_heard, every_day, year_or_less, every_day, year_or_less, heard_of, heard_of, heard_of, never_heard, every_month, every_month, year_or_less, heard_of, every_month, heard_of, year_or_less, year_or_less, year_or_less, heard_of, every_day, every_month, every_month, year_or_less, heard_of, every_month, heard_of, year_or_less, year_or_less, year_or_less, heard_of, every_day
Participant 14,14,28/08/2019,doctoral,galaxy = heard_of;gnomad = heard_of;intermine = year_or_less;biomart = year_or_less;molgenis = never_heard;knetminer = never_heard;genecards = heard_of;go = every_week;ensembl = year_or_less;ncbi = every_week;pdb = every_month;biogrid = year_or_less;interpro = every_month;kegg = year_or_less;reactome = every_month,Complex Portal: almost dailyIntAct: weeklyEuropePMC: weeklyMatrixDB: occasionallyUniProt: almost dailyOLS: weeklyEFO - experimental factor ontology: monthlyOMIM - experimental factor ontology: monthlyECO - evidence & conclusion ontology: weeklyexpression atlas: monthlyProtein Ontology: few times a year,22,highschool,r_lang = every_month;python = year_or_less;perl = year_or_less;java = heard_of;rdbm = heard_of;functional_language = heard_of;graph_db = heard_of;semantic = heard_of;html = heard_of;js = heard_of;git = heard_of,"command line tools for phylogenetic analysis (Paup, MrBayes)",use/look at JSON & XML;FASTA;CSV / TSV;Excel / Google Sheets / other spreadsheets,7, heard_of, heard_of, year_or_less, year_or_less, never_heard, never_heard, heard_of, every_week, year_or_less, every_week, every_month, year_or_less, every_month, year_or_less, every_month, every_month, year_or_less, year_or_less, heard_of, heard_of, heard_of, heard_of, heard_of, heard_of, heard_of, heard_of, every_month, year_or_less, year_or_less, heard_of, heard_of, heard_of, heard_of, heard_of, heard_of, heard_of, heard_of
Participant 15,15,28/08/2019,doctoral,galaxy = year_or_less;gnomad = never_heard;intermine = heard_of;biomart = never_heard;molgenis = never_heard;knetminer = heard_of;genecards = year_or_less;go = year_or_less;ensembl = year_or_less;ncbi = every_month;pdb = year_or_less;biogrid = never_heard;interpro = heard_of;kegg = year_or_less;reactome = heard_of,"Ingenuity Pathway Analysis (daily during my postdoc), Cytoscape (haven't used this myself but have seen it used in training courses), DAVID (daily during PhD/Postdoc), Metacore (daily during my postdoc). EBI website and tools (various, daily).",13,informal,r_lang = year_or_less;python = heard_of;perl = heard_of;java = heard_of;rdbm = heard_of;functional_language = never_heard;graph_db = heard_of;semantic = heard_of;html = year_or_less;js = heard_of;git = heard_of, ,FASTA;CSV / TSV;Excel / Google Sheets / other spreadsheets,0, year_or_less, never_heard, heard_of, never_heard, never_heard, heard_of, year_or_less, year_or_less, year_or_less, every_month, year_or_less, never_heard, heard_of, year_or_less, heard_of, year_or_less, heard_of, heard_of, heard_of, heard_of, never_heard, heard_of, heard_of, year_or_less, heard_of, heard_of, year_or_less, heard_of, heard_of, heard_of, heard_of, never_heard, heard_of, heard_of, year_or_less, heard_of, heard_of
Participant 16,16,20/09/2019,doctoral,galaxy = never_heard;gnomad = never_heard;intermine = never_heard;biomart = never_heard;molgenis = never_heard;knetminer = never_heard;genecards = never_heard;go = never_heard;ensembl = never_heard;ncbi = never_heard;pdb = never_heard;biogrid = never_heard;interpro = never_heard;kegg = never_heard;reactome = never_heard, ,10,masters,r_lang = year_or_less;python = every_day;perl = heard_of;java = heard_of;rdbm = heard_of;functional_language = never_heard;graph_db = never_heard;semantic = never_heard;html = year_or_less;js = heard_of;git = every_day, ,binary;CSV / TSV,11, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, year_or_less, every_day, heard_of, heard_of, heard_of, never_heard, never_heard, never_heard, year_or_less, heard_of, every_day, year_or_less, every_day, heard_of, heard_of, heard_of, never_heard, never_heard, never_heard, year_or_less, heard_of, every_day
Participant 17,17,20/09/2019,masters,galaxy = never_heard;gnomad = never_heard;intermine = never_heard;biomart = never_heard;molgenis = never_heard;knetminer = never_heard;genecards = never_heard;go = never_heard;ensembl = every_month;ncbi = every_week;pdb = never_heard;biogrid = never_heard;interpro = never_heard;kegg = never_heard;reactome = never_heard,Geneious suite of genetics software (daily) which can access many of the other tools directly,9,informal,r_lang = every_week;python = year_or_less;perl = heard_of;java = heard_of;rdbm = heard_of;functional_language = never_heard;graph_db = never_heard;semantic = never_heard;html = heard_of;js = heard_of;git = heard_of, ,FASTA;VCF;BAM;CSV / TSV;Excel / Google Sheets / other spreadsheets,1, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, every_month, every_week, never_heard, never_heard, never_heard, never_heard, never_heard, every_week, year_or_less, heard_of, heard_of, heard_of, never_heard, never_heard, never_heard, heard_of, heard_of, heard_of, every_week, year_or_less, heard_of, heard_of, heard_of, never_heard, never_heard, never_heard, heard_of, heard_of, heard_of
Participant 18,18,20/09/2019,masters,galaxy = heard_of;gnomad = every_month;intermine = never_heard;biomart = heard_of;molgenis = never_heard;knetminer = never_heard;genecards = never_heard;go = heard_of;ensembl = year_or_less;ncbi = year_or_less;pdb = year_or_less;biogrid = heard_of;interpro = heard_of;kegg = never_heard;reactome = never_heard,"ExAC - I used to use in my project for 3 months , BLAST - monthly, PubMLST - daily,Clustal omega - weekly",1,informal,r_lang = every_day;python = year_or_less;perl = heard_of;java = heard_of;rdbm = heard_of;functional_language = heard_of;graph_db = heard_of;semantic = never_heard;html = heard_of;js = heard_of;git = heard_of,"BASH - weekly, MATLAB - monthly,HPC - monthly",FASTA;VCF;CSV / TSV;Excel / Google Sheets / other spreadsheets,2, heard_of, every_month, never_heard, heard_of, never_heard, never_heard, never_heard, heard_of, year_or_less, year_or_less, year_or_less, heard_of, heard_of, never_heard, never_heard, every_day, year_or_less, heard_of, heard_of, heard_of, heard_of, heard_of, never_heard, heard_of, heard_of, heard_of, every_day, year_or_less, heard_of, heard_of, heard_of, heard_of, heard_of, never_heard, heard_of, heard_of, heard_of
Participant 19,19,20/09/2019,doctoral,galaxy = never_heard;gnomad = never_heard;intermine = never_heard;biomart = never_heard;molgenis = never_heard;knetminer = never_heard;genecards = never_heard;go = heard_of;ensembl = heard_of;ncbi = every_week;pdb = heard_of;biogrid = never_heard;interpro = never_heard;kegg = never_heard;reactome = never_heard,image j (daily),23,highschool,r_lang = year_or_less;python = year_or_less;perl = never_heard;java = year_or_less;rdbm = heard_of;functional_language = never_heard;graph_db = never_heard;semantic = never_heard;html = every_week;js = year_or_less;git = year_or_less,user of image analysis packages - not scripting,image files - tif;FASTA;CSV / TSV;Excel / Google Sheets / other spreadsheets,0, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, never_heard, heard_of, heard_of, every_week, heard_of, never_heard, never_heard, never_heard, never_heard, year_or_less, year_or_less, never_heard, year_or_less, heard_of, never_heard, never_heard, never_heard, every_week, year_or_less, year_or_less, year_or_less, year_or_less, never_heard, year_or_less, heard_of, never_heard, never_heard, never_heard, every_week, year_or_less, year_or_less
Participant 20,20,26/09/2019,highschool,galaxy = heard_of;gnomad = never_heard;intermine = year_or_less;biomart = year_or_less;molgenis = never_heard;knetminer = heard_of;genecards = year_or_less;go = every_week;ensembl = every_month;ncbi = every_month;pdb = heard_of;biogrid = every_month;interpro = every_month;kegg = heard_of;reactome = heard_of, ,21,undergraduate,r_lang = heard_of;python = every_month;perl = every_day;java = year_or_less;rdbm = every_day;functional_language = year_or_less;graph_db = heard_of;semantic = heard_of;html = every_day;js = every_day;git = every_day, ,GFF;FASTA;CSV / TSV,24, heard_of, never_heard, year_or_less, year_or_less, never_heard, heard_of, year_or_less, every_week, every_month, every_month, heard_of, every_month, every_month, heard_of, heard_of, heard_of, every_month, every_day, year_or_less, every_day, year_or_less, heard_of, heard_of, every_day, every_day, every_day, heard_of, every_month, every_day, year_or_less, every_day, year_or_less, heard_of, heard_of, every_day, every_day, every_day
Participant 21,21,26/11/2019,doctoral,galaxy = year_or_less;gnomad = year_or_less;intermine = never_heard;biomart = heard_of;molgenis = never_heard;knetminer = never_heard;genecards = every_day;go = every_month;ensembl = every_week;ncbi = every_day;pdb = never_heard;biogrid = never_heard;interpro = heard_of;kegg = every_month;reactome = every_month,Daily own databases (shiny),24,informal,r_lang = year_or_less;python = heard_of;perl = heard_of;java = heard_of;rdbm = heard_of;functional_language = never_heard;graph_db = never_heard;semantic = never_heard;html = heard_of;js = heard_of;git = heard_of,"basic, msx",any varioation of the above;GFF;FASTA;VCF;BAM;CSV / TSV;Excel / Google Sheets / other spreadsheets,0, year_or_less, year_or_less, never_heard, heard_of, never_heard, never_heard, every_day, every_month, every_week, every_day, never_heard, never_heard, heard_of, every_month, every_month, year_or_less, heard_of, heard_of, heard_of, heard_of, never_heard, never_heard, never_heard, heard_of, heard_of, heard_of, year_or_less, heard_of, heard_of, heard_of, heard_of, never_heard, never_heard, never_heard, heard_of, heard_of, heard_of
Participant 22,22,16/12/2019,doctoral,galaxy = never_heard;gnomad = never_heard;intermine = year_or_less;biomart = year_or_less;molgenis = never_heard;knetminer = never_heard;genecards = every_month;go = year_or_less;ensembl = every_month;ncbi = every_week;pdb = year_or_less;biogrid = never_heard;interpro = never_heard;kegg = year_or_less;reactome = year_or_less,"String pathway analysis, tRNA DB, miRbase",14,informal,r_lang = year_or_less;python = heard_of;perl = heard_of;java = heard_of;rdbm = heard_of;functional_language = never_heard;graph_db = never_heard;semantic = heard_of;html = heard_of;js = heard_of;git = heard_of, ,GFF;FASTA;BAM;CSV / TSV;Excel / Google Sheets / other spreadsheets,0, never_heard, never_heard, year_or_less, year_or_less, never_heard, never_heard, every_month, year_or_less, every_month, every_week, year_or_less, never_heard, never_heard, year_or_less, year_or_less, year_or_less, heard_of, heard_of, heard_of, heard_of, never_heard, never_heard, heard_of, heard_of, heard_of, heard_of, year_or_less, heard_of, heard_of, heard_of, heard_of, never_heard, never_heard, heard_of, heard_of, heard_of, heard_of
