,Respondent ID,computer_education,biological_education
Participant 1,1,doctoral,highschool
Participant 2,2,informal,doctoral
Participant 3,3,informal,doctoral
Participant 4,4,masters,masters
Participant 5,5,doctoral,doctoral
Participant 6,6,informal,doctoral
Participant 7,7,masters,doctoral
Participant 8,8,masters,doctoral
Participant 9,9,doctoral,doctoral
Participant 10,10,doctoral,doctoral
Participant 11,11,undergraduate,undergraduate
Participant 12,12,masters,masters
Participant 13,13,doctoral,doctoral
Participant 14,14,highschool,doctoral
Participant 15,15,informal,doctoral
Participant 16,16,masters,doctoral
Participant 17,17,informal,masters
Participant 18,18,informal,masters
Participant 19,19,highschool,doctoral
Participant 20,20,undergraduate,highschool
Participant 21,21,informal,doctoral
Participant 22,22,informal,doctoral